#q*Aangstroem	C14_ESRF_ID01 (4200 mm)*cm*sr	stddev*cm*sr
0.0032397	61.436	0.89411
0.0032942	60.047	0.25514
0.0033486	60.513	0.20127
0.0034031	60.390	0.16253
0.0034575	59.972	0.14921
0.0035120	59.491	0.13802
0.0035664	59.009	0.12472
0.0036209	58.785	0.11529
0.0036753	57.846	0.10088
0.0037298	57.103	0.086084
0.0037842	56.829	0.080828
0.0038387	56.554	0.076017
0.0038931	56.182	0.071001
0.0039476	55.799	0.066048
0.0040020	55.496	0.062528
0.0040565	55.027	0.058400
0.0041109	54.753	0.054697
0.0041654	54.357	0.052777
0.0042198	53.952	0.050998
0.0042743	53.645	0.049078
0.0043287	53.388	0.047833
0.0043832	53.165	0.046556
0.0044376	52.900	0.044916
0.0044921	52.614	0.043859
0.0045465	52.316	0.043112
0.0046010	52.075	0.042191
0.0046554	51.779	0.041431
0.0047099	51.541	0.040623
0.0047643	51.340	0.039968
0.0048188	51.188	0.039327
0.0048732	51.021	0.038704
0.0049277	50.846	0.038117
0.0049821	50.633	0.037497
0.0050366	50.461	0.036867
0.0050910	50.333	0.036428
0.0051455	50.192	0.035775
0.0051999	50.069	0.035281
0.0052544	49.909	0.034805
0.0053088	49.764	0.034555
0.0053633	49.622	0.034078
0.0054177	49.423	0.033752
0.0054722	49.277	0.033263
0.0055266	49.170	0.032867
0.0055810	49.067	0.032462
0.0056355	48.961	0.032107
0.0056899	48.872	0.031560
0.0057444	48.783	0.031186
0.0057988	48.705	0.030704
0.0058533	48.646	0.030352
0.0059077	48.555	0.030051
0.0059622	48.434	0.029728
0.0060166	48.313	0.029340
0.0060711	48.179	0.029030
0.0061255	48.061	0.028767
0.0061800	48.005	0.028478
0.0062344	47.976	0.028145
0.0062889	47.883	0.028121
0.0063433	47.784	0.027670
0.0063978	47.726	0.027361
0.0064522	47.662	0.027095
0.0065067	47.567	0.026929
0.0065612	47.492	0.026710
0.0066156	47.430	0.026399
0.0066700	47.350	0.026178
0.0067245	47.305	0.025947
0.0067789	47.282	0.025729
0.0068334	47.232	0.025703
0.0068878	47.175	0.025408
0.0069423	47.093	0.025114
0.0069967	46.997	0.024892
0.0070512	46.930	0.024708
0.0071057	46.866	0.024703
0.0071601	46.815	0.024482
0.0072145	46.779	0.024283
0.0072690	46.700	0.024057
0.0073234	46.646	0.023835
0.0073778	46.620	0.023665
0.0074323	46.581	0.023621
0.0074868	46.509	0.023481
0.0075412	46.449	0.023253
0.0075957	46.413	0.023058
0.0076501	46.381	0.022917
0.0077046	46.358	0.022749
0.0077590	46.330	0.022706
0.0078135	46.288	0.022450
0.0078679	46.237	0.022370
0.0079223	46.158	0.022170
0.0079768	46.123	0.022008
0.0080312	46.098	0.021926
0.0080857	46.093	0.021796
0.0081402	46.056	0.021669
0.0081946	45.972	0.021527
0.0082491	45.897	0.021362
0.0083035	45.851	0.021242
0.0083580	45.803	0.021225
0.0084124	45.782	0.021053
0.0084668	45.743	0.020941
0.0085213	45.707	0.020802
0.0085757	45.703	0.020777
0.0086302	45.704	0.020655
0.0086846	45.677	0.020559
0.0087391	45.624	0.020422
