#q*Aangstroem	C14_ESRF_ID02_USAXS*cm*sr	stddev*cm*sr
0.00020882	40572	0.0000
0.00021830	33964	0.0000
0.00022935	29034	0.0000
0.00024040	28826	0.0000
0.00025145	25166	0.0000
0.00026250	23608	0.0000
0.00027513	20884	0.0000
0.00028934	17010	0.0000
0.00030196	15048	0.0000
0.00031617	13197	0.0000
0.00033196	12178	0.0000
0.00034775	10311	0.0000
0.00036353	9068.3	0.0000
0.00038089	8159.7	0.0000
0.00039826	7236.3	0.0000
0.00041720	6024.1	0.0000
0.00043615	5162.1	0.0000
0.00045667	4364.4	0.0000
0.00047876	3784.5	0.0000
0.00050087	3419.6	0.0000
0.00052454	2989.2	0.0000
0.00054980	2621.8	0.0000
0.00057664	2486.2	0.0000
0.00060348	2266.9	0.0000
0.00063189	2096.2	0.0000
0.00066188	1996.9	0.0000
0.00069188	1692.9	0.0000
0.00072502	1501.6	0.0000
0.00075975	1392.8	0.0000
0.00079448	1148.3	0.0000
0.00083238	1160.7	0.0000
0.00087183	967.89	0.0000
0.00091288	822.08	0.0000
0.00095550	736.92	0.0000
0.0010013	650.07	0.0000
0.0010486	584.18	0.0000
0.0010976	522.74	0.0000
0.0011497	464.25	0.0000
0.0012034	415.21	0.0000
0.0012602	377.51	0.0000
0.0013186	346.34	0.0000
0.0013817	330.54	0.0000
0.0014464	271.71	0.0000
0.0015143	257.74	0.0000
0.0015854	238.08	0.0000
0.0016611	203.03	0.0000
0.0017385	192.61	0.0000
0.0018206	197.79	0.0000
0.0019074	172.50	0.0000
0.0019974	150.34	0.0000
0.0020905	128.49	0.0000
0.0021900	109.30	0.0000
0.0022926	96.438	0.0000
0.0023999	100.35	0.0000
0.0025136	91.865	0.0000
0.0026320	89.558	0.0000
0.0027567	79.509	0.0000
0.0028861	71.268	0.0000
0.0030219	76.365	0.0000
0.0031640	68.649	0.0000
0.0033139	68.895	0.0000
0.0034702	61.052	0.0000
0.0036328	57.139	0.0000
0.0038049	59.532	0.0000
0.0039848	53.839	0.0000
0.0041711	52.560	0.0000
0.0043684	54.000	0.0000
0.0045736	55.517	0.0000
0.0047900	52.925	0.0000
0.0050157	49.921	0.0000
0.0052524	47.950	0.0000
0.0055002	53.472	0.0000
0.0057592	49.063	0.0000
0.0060308	42.477	0.0000
0.0063148	42.069	0.0000
0.0066117	47.095	0.0000
0.0069242	43.766	0.0000
0.0072494	46.263	0.0000
0.0075919	44.809	0.0000
0.0079486	43.998	0.0000
0.0083244	43.555	0.0000
0.0087159	42.448	0.0000
0.0091262	45.174	0.0000
0.0095572	42.751	0.0000
0.010007	42.712	0.0000
0.010479	42.228	0.0000
0.010973	41.631	0.0000
0.011491	41.607	0.0000
0.012033	41.210	0.0000
0.012599	41.592	0.0000
0.013193	38.757	0.0000
0.013815	41.152	0.0000
0.014465	39.799	0.0000
0.015147	42.354	0.0000
0.015861	38.207	0.0000
0.016609	37.219	0.0000
0.017392	38.223	0.0000
0.018211	40.110	0.0000
0.019070	38.745	0.0000
0.019968	40.927	0.0000
0.020909	43.317	0.0000
0.021894	42.965	0.0000
0.022926	40.785	0.0000
0.024006	39.723	0.0000
0.025138	38.987	0.0000
0.026322	36.882	0.0000
0.027563	39.628	0.0000
0.028862	38.501	0.0000
0.030223	36.511	0.0000
0.031647	39.153	0.0000
0.033138	35.260	0.0000
0.034699	38.336	0.0000
0.036335	40.430	0.0000
0.038048	41.104	0.0000
0.039841	37.431	0.0000
0.041718	41.173	0.0000
0.043685	41.749	0.0000
0.045744	39.097	0.0000
0.047899	38.991	0.0000
0.050157	38.900	0.0000
0.052521	39.118	0.0000
0.054996	35.570	0.0000
0.057588	37.576	0.0000
0.060302	38.022	0.0000
0.063144	35.136	0.0000
