B	C	D	E	F	G
0.0075420	5.4680	0.10260	0.0017170	0.0077260	1.0000
0.0085470	5.6120	0.054560	0.0017200	0.0087100	1.0000
0.0095530	5.5520	0.047030	0.0017260	0.0096980	1.0000
0.010560	5.3950	0.034450	0.0017340	0.010690	1.0000
0.011560	5.4040	0.034290	0.0017430	0.011680	1.0000
0.012570	5.3950	0.034810	0.0017530	0.012680	1.0000
0.013570	5.3380	0.030790	0.0017640	0.013680	1.0000
0.014580	5.3530	0.031130	0.0017770	0.014670	1.0000
0.015580	5.2910	0.031780	0.0017900	0.015670	1.0000
0.016590	5.2680	0.032510	0.0018050	0.016670	1.0000
0.017590	5.2050	0.030320	0.0018200	0.017670	1.0000
0.018600	5.1360	0.026260	0.0018360	0.018670	1.0000
0.019600	5.1350	0.025210	0.0018530	0.019670	1.0000
0.020610	5.1310	0.028130	0.0018710	0.020670	1.0000
0.021610	5.1400	0.027480	0.0018900	0.021680	1.0000
0.022620	5.0230	0.026070	0.0019090	0.022680	1.0000
0.023620	5.0430	0.027980	0.0019290	0.023680	1.0000
0.024620	4.9950	0.026570	0.0019490	0.024680	1.0000
0.025630	4.9770	0.023080	0.0019710	0.025680	1.0000
0.026630	4.9370	0.024010	0.0019920	0.026680	1.0000
0.027640	4.9060	0.025220	0.0020150	0.027690	1.0000
0.028640	4.9240	0.022140	0.0020380	0.028690	1.0000
0.029640	4.8280	0.021580	0.0020620	0.029690	1.0000
0.030650	4.8390	0.020460	0.0020860	0.030690	1.0000
0.031650	4.8180	0.021150	0.0021100	0.031690	1.0000
0.032650	4.7930	0.022790	0.0021360	0.032690	1.0000
0.033650	4.8020	0.021640	0.0021610	0.033690	1.0000
0.034660	4.7380	0.019620	0.0021870	0.034700	1.0000
0.035660	4.6950	0.018030	0.0022140	0.035700	1.0000
0.036660	4.6960	0.019050	0.0022410	0.036700	1.0000
0.037630	4.6920	0.015570	0.0030940	0.037730	1.0000
0.037660	4.7110	0.018860	0.0022680	0.037700	1.0000
0.038660	4.6740	0.018800	0.0022960	0.038700	1.0000
0.039660	4.6850	0.018580	0.0023240	0.039700	1.0000
0.040670	4.6180	0.017170	0.0023530	0.040700	1.0000
0.041210	4.6450	0.016640	0.0031680	0.041290	1.0000
0.041670	4.6180	0.017600	0.0023820	0.041700	1.0000
0.042670	4.5940	0.017460	0.0024110	0.042700	1.0000
0.043670	4.5880	0.017470	0.0024400	0.043700	1.0000
0.044670	4.5590	0.016270	0.0024700	0.044700	1.0000
0.044780	4.5910	0.014870	0.0032460	0.044860	1.0000
0.045670	4.5420	0.016000	0.0025010	0.045700	1.0000
0.046670	4.5480	0.016440	0.0025310	0.046700	1.0000
0.047670	4.5830	0.017410	0.0025620	0.047690	1.0000
0.048340	4.5390	0.014830	0.0033290	0.048420	1.0000
0.048660	4.5210	0.016290	0.0025930	0.048690	1.0000
0.049660	4.5390	0.017340	0.0026240	0.049690	1.0000
0.050660	4.5230	0.016440	0.0026550	0.050690	1.0000
0.051660	4.5210	0.015990	0.0026870	0.051690	1.0000
0.051910	4.4950	0.013610	0.0034170	0.051970	1.0000
0.052660	4.5270	0.015320	0.0027190	0.052680	1.0000
0.053660	4.4860	0.016430	0.0027510	0.053680	1.0000
0.054650	4.4970	0.015530	0.0027840	0.054680	1.0000
0.055470	4.5190	0.014960	0.0035080	0.055530	1.0000
0.055650	4.4990	0.015700	0.0028160	0.055670	1.0000
0.056650	4.4670	0.015400	0.0028490	0.056670	1.0000
0.057640	4.4690	0.014230	0.0028820	0.057670	1.0000
0.058640	4.4780	0.013980	0.0029150	0.058660	1.0000
0.059020	4.4780	0.012400	0.0036020	0.059080	1.0000
0.059630	4.4960	0.014690	0.0029490	0.059660	1.0000
0.060630	4.4710	0.015290	0.0029820	0.060650	1.0000
0.061620	4.4680	0.014330	0.0030160	0.061650	1.0000
0.062570	4.4520	0.013310	0.0037000	0.062630	1.0000
0.062620	4.4560	0.014870	0.0030500	0.062640	1.0000
0.063610	4.4310	0.015750	0.0030840	0.063630	1.0000
0.064610	4.4390	0.015960	0.0031180	0.064630	1.0000
0.065600	4.4210	0.017330	0.0031520	0.065620	1.0000
0.066120	4.4360	0.012850	0.0038000	0.066170	1.0000
0.066590	4.3930	0.017970	0.0031870	0.066610	1.0000
0.067590	4.3710	0.018980	0.0032210	0.067610	1.0000
0.068580	4.4240	0.020050	0.0032560	0.068600	1.0000
0.069570	4.3900	0.022820	0.0032910	0.069590	1.0000
0.069660	4.4030	0.013650	0.0039040	0.069710	1.0000
0.070560	4.4210	0.022670	0.0033260	0.070580	1.0000
0.071550	4.4070	0.021100	0.0033610	0.071570	1.0000
0.072550	4.4100	0.024050	0.0033960	0.072560	1.0000
0.073200	4.3600	0.015130	0.0040090	0.073250	1.0000
0.073540	4.3840	0.022990	0.0034310	0.073550	1.0000
0.074530	4.3780	0.024190	0.0034660	0.074540	1.0000
0.075520	4.3210	0.028410	0.0035020	0.075530	1.0000
0.076500	4.3240	0.025930	0.0035370	0.076520	1.0000
0.076730	4.3300	0.013120	0.0041170	0.076780	1.0000
0.077490	4.3310	0.029660	0.0035730	0.077510	1.0000
0.078480	4.3320	0.029600	0.0036080	0.078500	1.0000
0.079470	4.2950	0.034580	0.0036440	0.079490	1.0000
0.080260	4.3030	0.016650	0.0042260	0.080300	1.0000
0.080460	4.3420	0.032840	0.0036800	0.080470	1.0000
0.081440	4.3090	0.036000	0.0037160	0.081460	1.0000
0.082430	4.2980	0.041840	0.0037520	0.082450	1.0000
0.083420	4.3430	0.044990	0.0037880	0.083430	1.0000
0.083780	4.2890	0.013770	0.0043380	0.083820	1.0000
0.087290	4.2470	0.015610	0.0044510	0.087330	1.0000
0.090800	4.2090	0.013090	0.0045650	0.090840	1.0000
0.094300	4.1530	0.013400	0.0046810	0.094340	1.0000
0.097800	4.1020	0.015450	0.0047980	0.097830	1.0000
0.10130	4.0190	0.013290	0.0049160	0.10130	1.0000
0.10480	3.9820	0.011250	0.0050360	0.10480	1.0000
0.10820	3.9010	0.012690	0.0051560	0.10830	1.0000
0.11170	3.8150	0.012060	0.0052760	0.11170	1.0000
0.11520	3.7340	0.012220	0.0053980	0.11520	1.0000
0.11860	3.6290	0.012380	0.0055200	0.11860	1.0000
0.12210	3.5300	0.0099870	0.0056430	0.12210	1.0000
0.12550	3.4370	0.010250	0.0057660	0.12550	1.0000
0.12890	3.3390	0.010640	0.0058900	0.12890	1.0000
0.13230	3.2410	0.010620	0.0060130	0.13240	1.0000
0.13570	3.1280	0.0093180	0.0061380	0.13580	1.0000
0.13910	3.0080	0.0096300	0.0062620	0.13920	1.0000
0.14250	2.9270	0.0082420	0.0063870	0.14260	1.0000
0.14590	2.8310	0.0098140	0.0065120	0.14590	1.0000
0.14930	2.7080	0.0081460	0.0066370	0.14930	1.0000
0.15260	2.6100	0.0084830	0.0067620	0.15270	1.0000
0.15600	2.5250	0.0079920	0.0068870	0.15600	1.0000
0.15930	2.4260	0.0069990	0.0070130	0.15940	1.0000
0.16270	2.3280	0.0070700	0.0071380	0.16270	1.0000
0.16600	2.2430	0.0072280	0.0072630	0.16600	1.0000
0.16930	2.1490	0.0063940	0.0073880	0.16930	1.0000
0.17260	2.0710	0.0064890	0.0075130	0.17260	1.0000
0.17590	1.9980	0.0062770	0.0076380	0.17590	1.0000
0.17910	1.9050	0.0067000	0.0077630	0.17920	1.0000
0.18240	1.8440	0.0061030	0.0078880	0.18240	1.0000
0.18570	1.7670	0.0055910	0.0080120	0.18570	1.0000
0.18890	1.6960	0.0056270	0.0081370	0.18890	1.0000
0.19210	1.6270	0.0056160	0.0082610	0.19220	1.0000
0.19540	1.5550	0.0054270	0.0083840	0.19540	1.0000
0.19860	1.5000	0.0050580	0.0085080	0.19860	1.0000
0.20180	1.4400	0.0054740	0.0086310	0.20180	1.0000
0.20490	1.3780	0.0049460	0.0087540	0.20490	1.0000
0.20810	1.3090	0.0045270	0.0088770	0.20810	1.0000
0.21130	1.2710	0.0047720	0.0089990	0.21130	1.0000
0.21440	1.2220	0.0049250	0.0091210	0.21440	1.0000
0.21750	1.1870	0.0053620	0.0092430	0.21750	1.0000
0.22060	1.1420	0.0053130	0.0093640	0.22070	1.0000
0.22380	1.1010	0.0050680	0.0094850	0.22380	1.0000
0.22680	1.0500	0.0044010	0.0096060	0.22690	1.0000
0.22990	1.0140	0.0048150	0.0097260	0.22990	1.0000
0.23300	0.97280	0.0044750	0.0098460	0.23300	1.0000
0.23600	0.94180	0.0045380	0.0099660	0.23610	1.0000
0.23910	0.90870	0.0046160	0.010080	0.23910	1.0000
0.24210	0.87770	0.0040150	0.010200	0.24210	1.0000
0.24510	0.85170	0.0042780	0.010320	0.24510	1.0000
0.24810	0.81800	0.0045230	0.010440	0.24810	1.0000
0.25110	0.78750	0.0039150	0.010560	0.25110	1.0000
0.25410	0.75620	0.0044200	0.010670	0.25410	1.0000
0.25700	0.73430	0.0038830	0.010790	0.25700	1.0000
0.26000	0.71060	0.0045100	0.010910	0.26000	1.0000
0.26290	0.68800	0.0040580	0.011020	0.26290	1.0000
0.26580	0.67100	0.0043330	0.011140	0.26580	1.0000
0.26870	0.63970	0.0039240	0.011250	0.26870	1.0000
0.27160	0.61770	0.0040980	0.011360	0.27160	1.0000
0.27450	0.59590	0.0037550	0.011480	0.27450	1.0000
0.27730	0.57970	0.0035130	0.011590	0.27730	1.0000
0.28020	0.56230	0.0034930	0.011700	0.28020	1.0000
0.28300	0.54810	0.0034540	0.011820	0.28300	1.0000
0.28580	0.53000	0.0033390	0.011930	0.28580	1.0000
0.28860	0.51550	0.0036810	0.012040	0.28860	1.0000
0.29140	0.50440	0.0033000	0.012150	0.29140	1.0000
0.29420	0.49140	0.0033850	0.012260	0.29420	1.0000
0.29700	0.47170	0.0031840	0.012370	0.29700	1.0000
0.29970	0.46470	0.0031970	0.012480	0.29970	1.0000
0.30240	0.45230	0.0030700	0.012590	0.30240	1.0000
0.30510	0.44020	0.0036800	0.012690	0.30520	1.0000
0.30780	0.42270	0.0033940	0.012800	0.30790	1.0000
0.31050	0.40720	0.0031930	0.012910	0.31050	1.0000
0.31320	0.39500	0.0032880	0.013020	0.31320	1.0000
0.31590	0.38860	0.0031170	0.013120	0.31590	1.0000
0.31850	0.37970	0.0032960	0.013230	0.31850	1.0000
0.32110	0.37500	0.0032780	0.013330	0.32110	1.0000
0.32380	0.36080	0.0030550	0.013440	0.32380	1.0000
0.32640	0.35960	0.0031360	0.013540	0.32640	1.0000
0.32890	0.34330	0.0029690	0.013640	0.32900	1.0000
0.33150	0.33520	0.0029360	0.013740	0.33150	1.0000
0.33410	0.33000	0.0029030	0.013850	0.33410	1.0000
0.33660	0.32210	0.0029200	0.013950	0.33660	1.0000
0.33920	0.31660	0.0033470	0.014050	0.33920	1.0000
0.34170	0.31070	0.0029420	0.014150	0.34170	1.0000
0.34420	0.30240	0.0030640	0.014250	0.34420	1.0000
0.34670	0.29470	0.0031700	0.014350	0.34670	1.0000
0.34910	0.28110	0.0028840	0.014450	0.34910	1.0000
0.35160	0.28040	0.0031960	0.014550	0.35160	1.0000
0.35400	0.27160	0.0025780	0.014640	0.35400	1.0000
0.35650	0.27240	0.0028420	0.014740	0.35650	1.0000
0.35890	0.26110	0.0027830	0.014840	0.35890	1.0000
0.36130	0.26070	0.0026570	0.014930	0.36130	1.0000
0.36370	0.25100	0.0032770	0.015030	0.36370	1.0000
0.36600	0.24780	0.0033540	0.015120	0.36600	1.0000
0.36840	0.24290	0.0033770	0.015220	0.36840	1.0000
0.37080	0.24140	0.0042810	0.015310	0.37080	1.0000
0.37310	0.22500	0.0042520	0.015410	0.37310	1.0000
0.37540	0.23020	0.0045760	0.015500	0.37540	1.0000
0.37770	0.22210	0.0061260	0.015590	0.37770	1.0000
0.38000	0.21960	0.0064670	0.015680	0.38000	1.0000
0.38230	0.22070	0.0051090	0.015770	0.38230	1.0000
0.38450	0.21880	0.0058470	0.015870	0.38450	1.0000
0.38680	0.22140	0.0057540	0.015960	0.38680	1.0000
0.38900	0.18720	0.0084040	0.016050	0.38900	1.0000
0.39130	0.20200	0.0066790	0.016130	0.39130	1.0000
0.39350	0.20290	0.017990	0.016220	0.39350	1.0000
