B	C	D	E	F	G
0.0075420	5.8290	0.10380	0.0017170	0.0077260	1.0000
0.0085470	5.6180	0.045560	0.0017200	0.0087100	1.0000
0.0095530	5.4940	0.041190	0.0017260	0.0096980	1.0000
0.010560	5.4270	0.041920	0.0017340	0.010690	1.0000
0.011560	5.3860	0.040620	0.0017430	0.011680	1.0000
0.012570	5.2610	0.035710	0.0017530	0.012680	1.0000
0.013570	5.3120	0.034430	0.0017640	0.013680	1.0000
0.014580	5.1360	0.032090	0.0017770	0.014670	1.0000
0.015580	5.0920	0.034350	0.0017900	0.015670	1.0000
0.016590	5.0700	0.029100	0.0018050	0.016670	1.0000
0.017590	5.1170	0.025740	0.0018200	0.017670	1.0000
0.018600	5.0120	0.027020	0.0018360	0.018670	1.0000
0.019600	5.0060	0.025320	0.0018530	0.019670	1.0000
0.020610	4.9580	0.028640	0.0018710	0.020670	1.0000
0.021610	4.9750	0.027090	0.0018900	0.021680	1.0000
0.022620	4.9120	0.027170	0.0019090	0.022680	1.0000
0.023620	4.8420	0.026210	0.0019290	0.023680	1.0000
0.024620	4.7560	0.022750	0.0019490	0.024680	1.0000
0.025630	4.7880	0.024200	0.0019710	0.025680	1.0000
0.026630	4.7680	0.021100	0.0019920	0.026680	1.0000
0.027640	4.7580	0.021370	0.0020150	0.027690	1.0000
0.028640	4.7200	0.022410	0.0020380	0.028690	1.0000
0.029640	4.7030	0.022580	0.0020620	0.029690	1.0000
0.030650	4.6990	0.021290	0.0020860	0.030690	1.0000
0.031650	4.6490	0.022900	0.0021100	0.031690	1.0000
0.032650	4.5780	0.019550	0.0021360	0.032690	1.0000
0.033650	4.5990	0.020950	0.0021610	0.033690	1.0000
0.034660	4.5950	0.021030	0.0021870	0.034700	1.0000
0.035660	4.5330	0.019590	0.0022140	0.035700	1.0000
0.036660	4.5160	0.018190	0.0022410	0.036700	1.0000
0.037610	4.5260	0.016390	0.0030920	0.037710	1.0000
0.037660	4.5070	0.018990	0.0022680	0.037700	1.0000
0.038660	4.5260	0.019390	0.0022960	0.038700	1.0000
0.039660	4.5270	0.019320	0.0023240	0.039700	1.0000
0.040670	4.4880	0.017210	0.0023530	0.040700	1.0000
0.041190	4.4650	0.015070	0.0031660	0.041270	1.0000
0.041670	4.4810	0.018650	0.0023820	0.041700	1.0000
0.042670	4.4520	0.017470	0.0024110	0.042700	1.0000
0.043670	4.4210	0.017230	0.0024400	0.043700	1.0000
0.044670	4.4230	0.015770	0.0024700	0.044700	1.0000
0.044750	4.4370	0.013000	0.0032450	0.044830	1.0000
0.045670	4.4200	0.016160	0.0025010	0.045700	1.0000
0.046670	4.4140	0.016920	0.0025310	0.046700	1.0000
0.047670	4.3760	0.014050	0.0025620	0.047690	1.0000
0.048320	4.3890	0.012560	0.0033280	0.048390	1.0000
0.048660	4.3910	0.015860	0.0025930	0.048690	1.0000
0.049660	4.3730	0.015670	0.0026240	0.049690	1.0000
0.050660	4.3860	0.016160	0.0026550	0.050690	1.0000
0.051660	4.3600	0.015000	0.0026870	0.051690	1.0000
0.051880	4.3770	0.013470	0.0034150	0.051950	1.0000
0.052660	4.3730	0.016100	0.0027190	0.052680	1.0000
0.053660	4.3550	0.015800	0.0027510	0.053680	1.0000
0.054650	4.3380	0.015390	0.0027840	0.054680	1.0000
0.055440	4.3570	0.013870	0.0035060	0.055500	1.0000
0.055650	4.3380	0.015000	0.0028160	0.055670	1.0000
0.056650	4.3670	0.014810	0.0028490	0.056670	1.0000
0.057640	4.3320	0.014040	0.0028820	0.057670	1.0000
0.058640	4.3390	0.015220	0.0029150	0.058660	1.0000
0.058990	4.3180	0.011450	0.0036010	0.059050	1.0000
0.059630	4.3300	0.014440	0.0029490	0.059660	1.0000
0.060630	4.3360	0.015290	0.0029820	0.060650	1.0000
