#q*Aangstroem	C14_ESRF_ID01 (521 mm)*cm*sr	stddev*cm*sr
0.028742	38.458	0.10990
0.029181	38.808	0.058578
0.029620	38.951	0.039359
0.030059	39.080	0.037375
0.030497	39.159	0.034329
0.030936	39.206	0.031591
0.031375	39.206	0.029906
0.031814	39.174	0.028076
0.032253	39.115	0.026629
0.032691	38.976	0.025001
0.033130	38.957	0.023188
0.033569	38.917	0.022021
0.034008	38.824	0.021789
0.034446	38.677	0.018812
0.034885	38.643	0.017349
0.035324	38.617	0.016785
0.035763	38.600	0.016158
0.036202	38.550	0.015712
0.036640	38.502	0.015355
0.037079	38.432	0.014521
0.037518	38.432	0.013811
0.037957	38.390	0.013500
0.038396	38.351	0.013267
0.038834	38.342	0.012934
0.039273	38.314	0.012751
0.039712	38.260	0.012585
0.040151	38.223	0.012359
0.040589	38.199	0.012215
0.041028	38.177	0.012088
0.041467	38.139	0.012028
0.041906	38.112	0.011902
0.042345	38.063	0.011864
0.042783	38.028	0.011730
0.043222	37.979	0.011683
0.043661	37.938	0.011587
0.044100	37.912	0.011491
0.044538	37.885	0.011453
0.044977	37.838	0.011389
0.045416	37.814	0.011283
0.045855	37.784	0.011222
0.046293	37.731	0.011154
0.046732	37.690	0.011050
0.047171	37.651	0.011007
0.047610	37.612	0.010943
0.048048	37.589	0.010826
0.048487	37.552	0.010755
0.048926	37.505	0.010698
0.049365	37.453	0.010648
0.049803	37.438	0.010577
0.050242	37.418	0.010511
0.050681	37.379	0.010499
0.051120	37.343	0.010409
0.051558	37.328	0.010336
0.051997	37.317	0.010300
0.052436	37.305	0.010270
0.052875	37.270	0.010189
0.053313	37.200	0.010147
0.053752	37.177	0.010060
0.054191	37.184	0.010067
0.054630	37.180	0.010006
0.055068	37.158	0.0099479
0.055507	37.133	0.0099001
0.055946	37.106	0.0098250
0.056384	37.078	0.0097700
0.056823	37.069	0.0097555
0.057262	37.055	0.0097414
0.057701	37.025	0.0096532
0.058139	37.012	0.0095873
0.058578	37.001	0.0095981
0.059017	36.996	0.0095163
0.059456	36.984	0.0094589
0.059894	36.968	0.0094398
0.060333	36.958	0.0093753
0.060772	36.955	0.0093369
0.061210	36.938	0.0092946
0.061649	36.923	0.0092560
0.062088	36.902	0.0092796
0.062527	36.882	0.0091972
0.062965	36.865	0.0091411
0.063404	36.858	0.0090984
0.063843	36.854	0.0090598
0.064281	36.837	0.0090623
0.064720	36.818	0.0089992
0.065159	36.806	0.0089661
0.065598	36.806	0.0089299
0.066036	36.795	0.0088817
0.066475	36.790	0.0088893
0.066913	36.785	0.0088283
0.067352	36.750	0.0087907
0.067791	36.710	0.0087727
0.068230	36.685	0.0087188
0.068668	36.667	0.0086689
0.069107	36.657	0.0086341
0.069545	36.643	0.0086008
0.069985	36.630	0.0085917
0.070423	36.604	0.0085726
0.070862	36.588	0.0084929
0.071300	36.567	0.0084589
0.071739	36.530	0.0084383
0.072177	36.512	0.0084181
0.072617	36.499	0.0083779
0.073055	36.474	0.0083359
0.073494	36.439	0.0082979
0.073932	36.423	0.0082686
0.074371	36.390	0.0082804
0.074809	36.378	0.0082257
0.075249	36.352	0.0082233
0.075687	36.312	0.0082468
0.076126	36.282	0.0081757
0.076564	36.257	0.0081110
0.077003	36.246	0.0080687
0.077442	36.222	0.0081654
0.077880	36.200	0.0082207
0.078319	36.156	0.0082113
0.078758	36.121	0.0083530
0.079196	36.097	0.0082367
0.079635	36.071	0.0083575
0.080074	36.023	0.0082910
