B	C	D	E	F	G
0.012570	5.5430	0.077390	0.0028600	0.012870	1.0000
0.014240	5.5980	0.022810	0.0028660	0.014510	1.0000
0.015920	5.5130	0.025690	0.0028760	0.016160	1.0000
0.017590	5.4820	0.023820	0.0028890	0.017810	1.0000
0.019270	5.3880	0.020690	0.0029040	0.019470	1.0000
0.020940	5.3440	0.019490	0.0029210	0.021130	1.0000
0.022620	5.3000	0.018600	0.0029400	0.022790	1.0000
0.024290	5.2460	0.016810	0.0029610	0.024450	1.0000
0.025970	5.1970	0.016400	0.0029830	0.026120	1.0000
0.027640	5.1680	0.014960	0.0030070	0.027780	1.0000
0.029320	5.1170	0.013810	0.0030330	0.029450	1.0000
0.030990	5.0480	0.014980	0.0030600	0.031120	1.0000
0.032660	5.0270	0.016270	0.0030880	0.032780	1.0000
0.034340	5.0210	0.013800	0.0031180	0.034450	1.0000
0.036010	4.9370	0.014040	0.0031480	0.036120	1.0000
0.037690	4.9260	0.016930	0.0031800	0.037790	1.0000
0.039360	4.8820	0.014020	0.0032140	0.039460	1.0000
0.041030	4.8590	0.013780	0.0032480	0.041130	1.0000
0.042700	4.8540	0.014340	0.0032830	0.042790	1.0000
0.044380	4.8350	0.011510	0.0033200	0.044460	1.0000
0.046050	4.8010	0.012610	0.0033570	0.046130	1.0000
0.047720	4.7810	0.011090	0.0033960	0.047800	1.0000
0.049390	4.7830	0.011710	0.0034350	0.049470	1.0000
0.051060	4.7510	0.011560	0.0034750	0.051140	1.0000
0.052740	4.7210	0.011820	0.0035170	0.052810	1.0000
0.054410	4.7130	0.011730	0.0035580	0.054480	1.0000
0.056080	4.7060	0.010710	0.0036010	0.056140	1.0000
0.057750	4.7010	0.010310	0.0036450	0.057810	1.0000
0.059420	4.6850	0.010560	0.0036890	0.059480	1.0000
0.061090	4.6760	0.010950	0.0037340	0.061150	1.0000
0.062720	4.6350	0.010910	0.0051560	0.062870	1.0000
0.062750	4.6460	0.0099840	0.0037800	0.062820	1.0000
0.064420	4.6490	0.0096570	0.0038260	0.064480	1.0000
0.066090	4.6460	0.0099440	0.0038730	0.066150	1.0000
0.067760	4.6320	0.010180	0.0039200	0.067820	1.0000
0.068670	4.6180	0.0094330	0.0052790	0.068810	1.0000
0.069430	4.6330	0.0096580	0.0039690	0.069480	1.0000
0.071100	4.6080	0.0094490	0.0040170	0.071150	1.0000
