B	C	D	E	F	G
0.012560	5.3810	0.074560	0.0028600	0.012870	1.0000
0.014240	5.3900	0.020580	0.0028660	0.014510	1.0000
0.015910	5.3210	0.023610	0.0028760	0.016160	1.0000
0.017590	5.2550	0.019370	0.0028880	0.017810	1.0000
0.019260	5.2090	0.020030	0.0029030	0.019460	1.0000
0.020940	5.1330	0.017450	0.0029200	0.021120	1.0000
0.022610	5.0970	0.018360	0.0029390	0.022780	1.0000
0.024290	5.0190	0.015590	0.0029600	0.024450	1.0000
0.025960	4.9910	0.017340	0.0029830	0.026110	1.0000
0.027640	4.9790	0.015840	0.0030070	0.027780	1.0000
0.029310	4.9390	0.014060	0.0030320	0.029440	1.0000
0.030980	4.8640	0.013750	0.0030590	0.031110	1.0000
0.032660	4.8660	0.016960	0.0030870	0.032780	1.0000
0.034330	4.7780	0.014080	0.0031170	0.034440	1.0000
0.036010	4.7410	0.013460	0.0031480	0.036110	1.0000
0.037680	4.7370	0.015110	0.0031800	0.037780	1.0000
0.039350	4.6980	0.013820	0.0032130	0.039450	1.0000
0.041020	4.6850	0.013100	0.0032470	0.041120	1.0000
0.042700	4.6520	0.012020	0.0032830	0.042790	1.0000
0.044370	4.6410	0.011880	0.0033190	0.044460	1.0000
0.046040	4.6210	0.011860	0.0033570	0.046120	1.0000
0.047710	4.6260	0.012990	0.0033950	0.047790	1.0000
0.049380	4.6010	0.011820	0.0034340	0.049460	1.0000
0.051050	4.5770	0.010930	0.0034750	0.051130	1.0000
0.052730	4.5440	0.010680	0.0035160	0.052800	1.0000
0.054400	4.5490	0.010440	0.0035580	0.054470	1.0000
0.056070	4.5320	0.0096590	0.0036010	0.056130	1.0000
0.057740	4.5250	0.010760	0.0036440	0.057800	1.0000
0.059410	4.5280	0.0097920	0.0036880	0.059470	1.0000
0.061070	4.4820	0.0097430	0.0037330	0.061140	1.0000
0.062690	4.4790	0.010240	0.0051540	0.062850	1.0000
0.062740	4.4920	0.010760	0.0037790	0.062800	1.0000
0.064410	4.5070	0.010380	0.0038250	0.064470	1.0000
